,name,reactionTime,trajectory,aimPlayerGridList,aimAction,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,baomian-m-22,"[1003, 1475, 1699, 1923, 2139, 2483, 2763, 3059, 3379, 3723, 4059, 4499]","[(0, 1), [0, 2], [1, 2], [2, 2], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [10, 4]]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4)]","[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[4],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",expCondition2,1,0,"(1, 2)","(4, 4)","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (3, 11), (7, 6), (0, 12), (5, 11), (12, 11), (13, 8), (1, 11), (12, 9), (11, 0), (4, 11), (7, 10), (8, 7), (5, 5)]",1,"(0, 1)","(10, 4)","(4, 10)"
1,baomian-m-22,"[890, 1306, 1674, 1945, 2409, 2737, 3089, 3345, 3577, 3817, 4138, 4514, 4762, 5010]","[(14, 12), [14, 11], [14, 10], [14, 11], [14, 11], [14, 11], [14, 10], [14, 9], [14, 8], [14, 7], [14, 6], [14, 5], [13, 5], [12, 5], [11, 5]]","[(14, 11), (14, 10), (13, 10), (13, 11), (14, 10), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5), (13, 5), (12, 5), (11, 5)]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[3, 5]","[0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]",expCondition1,0,1,"(13, 12)","(11, 11)","[(13, 13), (13, 11), (11, 13), (4, 11), (7, 6), (9, 14), (5, 13), (3, 7), (13, 1), (3, 10), (6, 8), (4, 8), (8, 9), (2, 11), (5, 12), (7, 9), (9, 7), (2, 7)]",2,"(14, 12)","(6, 11)","(11, 5)"
2,baomian-m-22,"[1022, 1230, 1486, 1750, 2014, 2286, 2574, 2934, 3326, 3750, 4102]","[(13, 14), [12, 14], [11, 14], [10, 14], [9, 14], [8, 14], [7, 14], [6, 14], [5, 14], [5, 13], [5, 12], [5, 11]]","[(12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (5, 13), (5, 12), (5, 11)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]",expCondition1,1,0,"(12, 13)","(11, 11)","[(13, 13), (13, 11), (11, 13), (3, 3), (10, 4), (12, 4), (2, 1), (4, 12), (8, 9), (3, 12), (10, 6), (9, 10), (6, 5), (6, 10), (1, 6), (6, 6), (3, 8), (7, 2)]",0,"(13, 14)","(5, 11)","(11, 5)"
3,baomian-m-22,"[966, 1174, 1398, 1614, 1846, 2062, 2294, 2534, 2966, 3206, 3510]","[(0, 1), [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [1, 9], [2, 9], [3, 9]]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0]",expCondition1,1,1,"(1, 2)","(3, 3)","[(1, 1), (1, 3), (3, 1), (8, 9), (10, 12), (5, 6), (12, 2), (4, 5), (11, 13), (12, 8), (1, 0), (7, 12), (9, 12), (1, 11), (0, 11), (8, 8), (12, 4), (12, 6)]",0,"(0, 1)","(8, 3)","(3, 9)"
4,baomian-m-22,"[1158, 1509, 1742, 1965, 2245, 2477, 2717, 2941, 3390, 3750, 4014, 4342, 4414, 4742, 5126, 5454]","[(0, 0), [0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 0], [7, 0], [8, 0], [9, 0], [8, 1], [8, 2], [8, 3], [8, 4], [8, 5], [9, 5]]","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 0), (8, 0), (9, 0), (9, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 5)]","[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[7, 11]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",expCondition2,4,2,"(3, 3)","(5, 5)","[(2, 2), (2, 0), (2, 4), (0, 2), (4, 2), (2, 5), (5, 2), (12, 13), (2, 12), (10, 7), (3, 13), (4, 13), (10, 2), (13, 6), (6, 8), (13, 3), (10, 1), (3, 12)]",2,"(0, 0)","(9, 5)","(5, 11)"
5,baomian-m-22,"[929, 1169, 1393, 1697, 2137, 2353, 2569, 2801, 3113]","[(7, 4), [7, 3], [6, 2], [6, 1], [6, 0], [5, 0], [4, 0], [3, 0], [2, 0], [1, 0]]","[(7, 3), (7, 2), (6, 1), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0), (1, 0)]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[2],"[2, 2, 2, 2, 2, 2, 2, 2, 2]",randomCondition,0,0,"(14, 14)","(14, 14)","[(5, 13), (13, 2), (8, 14), (2, 4), (10, 8), (14, 3), (10, 5), (14, 6), (6, 9), (10, 14), (9, 9), (12, 1), (14, 4), (0, 1), (6, 3), (3, 5), (4, 7), (1, 14)]",1,"(7, 4)","(9, 12)","(1, 0)"
6,baomian-m-22,"[942, 1390, 1726, 2046, 2382, 2702, 3134, 3494, 3918, 4174, 4446, 4710, 4982, 5286, 5694, 6150]","[(14, 14), [13, 14], [13, 13], [13, 12], [13, 11], [12, 11], [11, 11], [10, 11], [10, 10], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9]]","[(13, 14), (13, 13), (13, 12), (13, 11), (12, 11), (11, 11), (10, 11), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), (3, 9)]","[(-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",controlCondition,0,1,"(15, 15)","(9, 9)","[(11, 14), (14, 11), (13, 10), (9, 11), (10, 13), (11, 9), (12, 12), (8, 13), (8, 12), (13, 8), (12, 8), (9, 11), (14, 1), (5, 7), (1, 3), (11, 1), (8, 2), (4, 3)]",0,"(14, 14)","(3, 9)","(9, 2)"
7,baomian-m-22,"[863, 1079, 1327, 1551, 1807, 2215, 2463, 2743, 3031, 3391, 3711, 4303]","[(12, 14), [11, 14], [10, 14], [9, 14], [10, 13], [9, 13], [8, 13], [7, 13], [8, 12], [7, 12], [6, 12], [5, 12], [5, 11]]","[(11, 14), (10, 14), (9, 14), (8, 14), (9, 13), (8, 13), (7, 13), (6, 13), (7, 12), (6, 12), (5, 12), (5, 11)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[4, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",expCondition1,0,1,"(12, 13)","(11, 11)","[(13, 13), (13, 11), (11, 13), (4, 14), (2, 14), (4, 5), (4, 9), (3, 10), (1, 13), (13, 7), (4, 3), (3, 6), (3, 11), (11, 2), (8, 7), (10, 3), (13, 4), (14, 8)]",2,"(12, 14)","(5, 11)","(11, 4)"
8,baomian-m-22,"[966, 1158, 1350, 1558, 1782, 2022, 2262, 2486, 2774, 3118, 3438, 3838, 4182]","[(13, 0), [12, 0], [11, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [6, 0], [5, 0], [4, 0], [3, 0], [2, 0], [1, 0]]","[(12, 0), (11, 0), (10, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0), (1, 0)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[3],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition2,1,controlAvoid,"(13, 0)","(13, 0)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (12, 11), (7, 9), (5, 10), (6, 10), (1, 8), (4, 9), (5, 13), (10, 12), (3, 1), (6, 12), (14, 0), (1, 12), (9, 12)]",1,"(13, 0)","(13, 11)","(1, 0)"
9,baomian-m-22,"[1029, 1397, 1597, 1845, 2117, 2405, 2685, 2949, 3245, 3573, 3885, 4204, 4508]","[(14, 0), [14, 1], [13, 1], [12, 1], [11, 1], [10, 1], [9, 1], [8, 1], [7, 1], [6, 1], [6, 2], [6, 3], [6, 4], [5, 4]]","[(14, 1), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (7, 1), (6, 1), (6, 2), (6, 3), (6, 4), (5, 4)]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 2]",expCondition1,4,1,"(11, 3)","(10, 4)","[(12, 2), (14, 2), (10, 2), (12, 0), (12, 4), (4, 8), (10, 12), (6, 12), (8, 5), (1, 2), (7, 9), (10, 11), (10, 9), (8, 13), (4, 9), (12, 10), (6, 8), (14, 10)]",0,"(14, 0)","(10, 8)","(5, 4)"
