,name,reactionTime,trajectory,aimPlayerGridList,aimAction,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,lixin-f-21,"[1558, 1719, 1857, 2012, 2177, 2565, 2782, 2932, 3079, 3226, 3567]","[(4, 4), [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9]]","[(5, 4), (5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[1],"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",randomCondition,0,controlAvoid,"(0, 14)","(0, 14)","[(14, 3), (0, 6), (5, 8), (12, 14), (6, 5), (12, 8), (12, 10), (0, 0), (2, 2), (4, 2), (2, 8), (0, 7), (5, 13), (6, 0), (6, 12), (13, 9), (7, 1), (4, 9)]",1,"(4, 4)","(8, 9)","(6, 13)"
1,lixin-f-21,"[1870, 2027, 2476, 2651, 2796, 2938, 3839, 4197, 4393, 4564, 4715, 4862, 5001, 5405, 5919, 6080, 6247, 6422, 7137, 7343, 7514, 7671]","[(0, 14), [0, 13], [0, 12], [1, 12], [0, 11], [0, 11], [0, 11], [0, 12], [1, 12], [2, 12], [3, 12], [4, 12], [5, 12], [6, 12], [7, 12], [8, 12], [9, 12], [10, 12], [11, 12], [11, 11], [11, 10], [11, 9], [11, 8]]","[(0, 13), (0, 12), (1, 12), (2, 12), (1, 11), (1, 11), (0, 12), (1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8)]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0]",expCondition2,6,1,"(4, 10)","(6, 8)","[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (6, 11), (3, 8), (8, 5), (12, 9), (8, 7), (12, 12), (9, 7), (13, 6), (13, 11), (0, 3), (11, 5)]",1,"(0, 14)","(6, 4)","(11, 8)"
2,lixin-f-21,"[986, 1158, 1324, 1924, 2432, 2750, 3776, 3953, 4128, 4567, 5392, 5564, 5750, 5927, 6082, 6248, 6400, 6555, 7313, 7492, 7670, 7845]","[(0, 0), [1, 0], [2, 0], [1, 0], [1, 1], [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [2, 12], [1, 12], [0, 12]]","[(1, 0), (2, 0), (3, 0), (1, 1), (2, 1), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (4, 11), (4, 12), (3, 12), (2, 12), (1, 12), (0, 12)]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[3],"[1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",controlCondition,0,controlAvoid,"(0, 0)","(0, 0)","[(3, 0), (0, 3), (1, 4), (1, 6), (4, 1), (6, 1), (6, 2), (2, 6), (5, 3), (3, 5), (6, 7), (13, 2), (13, 11), (8, 7), (8, 6), (13, 13), (13, 12), (11, 10)]",1,"(0, 0)","(10, 0)","(0, 12)"
3,lixin-f-21,"[1721, 1877, 2059, 2719, 2900, 3313, 3505, 3671, 3837, 3992, 4149, 4324, 4568, 4797, 5246, 5468, 5633]","[(0, 0), [0, 0], [0, 0], [0, 0], [0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [9, 3], [9, 4], [9, 5]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (9, 3), (9, 4), (9, 5)]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",expCondition1,6,1,"(4, 4)","(5, 5)","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (11, 7), (11, 10), (10, 13), (13, 3), (12, 4), (5, 13), (9, 12), (10, 11), (10, 3), (13, 9), (12, 7)]",0,"(0, 0)","(9, 5)","(5, 10)"
4,lixin-f-21,"[1434, 1641, 2366, 2526, 2667, 2818, 2964, 3117, 3256, 3402, 3574, 3724, 3886, 4611, 4908]","[(13, 0), [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [9, 0], [8, 0], [7, 0], [6, 0], [5, 0], [4, 1], [3, 1], [2, 1], [1, 1], [1, 0]]","[(12, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (3, 1), (2, 1), (1, 1), (1, 0)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[6, 11]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition2,1,controlAvoid,"(13, 0)","(13, 0)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (2, 7), (14, 7), (14, 6), (7, 13), (9, 8), (3, 11), (8, 6), (1, 7), (2, 10), (7, 6), (14, 0), (14, 13), (11, 12)]",2,"(13, 0)","(13, 12)","(1, 0)"
5,lixin-f-21,"[1167, 1565, 1892, 2069, 2225, 2376, 2543, 2683, 3036, 3222, 3399, 3610, 4139, 4325, 4486, 4652]","[(0, 0), [0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [10, 2], [10, 3], [10, 4], [10, 5]]","[(0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5)]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]",expCondition1,6,1,"(4, 4)","(5, 5)","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (6, 10), (8, 7), (12, 13), (11, 9), (10, 6), (11, 7), (6, 6), (8, 8), (7, 13), (12, 1), (0, 13)]",1,"(0, 0)","(10, 5)","(5, 11)"
6,lixin-f-21,"[1349, 1509, 1681, 1858, 2033, 2190, 2362, 2511, 2672, 3086, 3418, 3604, 3780, 3957]","[(14, 14), [13, 14], [12, 14], [11, 14], [10, 14], [9, 14], [8, 14], [7, 14], [6, 14], [5, 14], [4, 14], [4, 13], [4, 12], [4, 11], [4, 10]]","[(13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",expCondition2,2,2,"(12, 12)","(10, 10)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (7, 8), (12, 1), (4, 5), (5, 9), (14, 2), (6, 8), (1, 6), (1, 4), (1, 7), (1, 10), (4, 1), (6, 5), (8, 4)]",0,"(14, 14)","(4, 10)","(10, 6)"
7,lixin-f-21,"[1240, 1405, 2120, 2299, 2457, 2619, 2775, 3133, 3353, 3520, 3681, 3843, 4014, 4335, 4491, 4668, 5091, 5479, 5681, 5856, 6023]","[(14, 14), [14, 13], [14, 12], [13, 12], [12, 12], [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [9, 13], [8, 13], [7, 13], [6, 13], [5, 13], [4, 13], [3, 13], [3, 12], [3, 11], [3, 10], [3, 9]]","[(14, 13), (14, 12), (13, 12), (12, 12), (11, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (8, 13), (7, 13), (6, 13), (5, 13), (4, 13), (3, 13), (3, 12), (3, 11), (3, 10), (3, 9)]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[5, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",expCondition1,6,2,"(10, 10)","(9, 9)","[(11, 11), (10, 14), (11, 13), (11, 9), (9, 11), (13, 11), (14, 10), (5, 6), (10, 4), (6, 1), (14, 2), (4, 4), (1, 7), (1, 5), (1, 1), (9, 1), (12, 1), (1, 3)]",2,"(14, 14)","(3, 9)","(9, 5)"
8,lixin-f-21,"[947, 1108, 1279, 1450, 1627, 1783, 1944, 2095, 2251, 2393, 2548, 3389, 3565, 4231]","[(13, 14), [12, 14], [13, 14], [12, 14], [11, 14], [10, 14], [9, 14], [8, 14], [7, 14], [6, 14], [5, 14], [4, 14], [4, 13], [4, 12], [4, 11]]","[(12, 14), (11, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14), (4, 13), (4, 12), (4, 11)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[2],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",expCondition1,1,2,"(12, 13)","(11, 11)","[(13, 13), (13, 11), (11, 13), (3, 8), (13, 5), (11, 4), (3, 13), (12, 1), (4, 4), (14, 9), (7, 8), (14, 7), (9, 6), (9, 9), (8, 3), (13, 4), (9, 3), (6, 4)]",1,"(13, 14)","(4, 11)","(11, 6)"
9,lixin-f-21,"[719, 875, 1027, 1182, 1343, 1509, 1675, 1842, 2018, 2179, 2346, 2558, 2758, 3584]","[(14, 12), [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [6, 12], [7, 11], [6, 11], [5, 11], [4, 11], [3, 11], [3, 10]]","[(13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (5, 12), (6, 11), (5, 11), (4, 11), (3, 11), (3, 10)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[9],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",expCondition2,0,2,"(13, 12)","(10, 10)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (1, 14), (5, 8), (8, 4), (1, 5), (11, 1), (9, 8), (1, 3), (13, 13), (4, 9), (6, 13), (9, 13), (10, 14), (8, 9)]",1,"(14, 12)","(3, 10)","(10, 5)"
