,name,reactionTime,trajectory,aimPlayerGridList,aimAction,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,luyang-f-25,"[880, 1063, 1231, 1391, 1550, 1695, 1878, 2039, 2215, 2430, 2575, 2718, 3175, 3367]","[(14, 0), [14, 1], [14, 2], [14, 3], [14, 4], [13, 5], [13, 6], [13, 7], [13, 8], [13, 9], [12, 9], [11, 9], [12, 9], [11, 9], [10, 9]]","[(14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (13, 6), (13, 7), (13, 8), (13, 9), (12, 9), (11, 9), (10, 9), (11, 9), (10, 9)]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[5, 12]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",expCondition2,2,1,"(12, 2)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (4, 10), (4, 9), (5, 10), (14, 12), (7, 5), (1, 2), (7, 11), (1, 7), (3, 12), (9, 11), (8, 13), (8, 8), (5, 8)]",2,"(14, 0)","(10, 9)","(4, 4)"
1,luyang-f-25,"[764, 909, 1084, 1237, 1396, 1541, 1700, 1844, 2013, 2236, 2405]","[(14, 2), [13, 2], [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [6, 3], [6, 4], [5, 4]]","[(13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (6, 2), (6, 3), (6, 4), (5, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 2]",expCondition2,0,0,"(13, 2)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (14, 10), (4, 2), (6, 0), (13, 13), (9, 6), (5, 6), (1, 2), (1, 9), (7, 10), (3, 0), (8, 7), (9, 0), (7, 5)]",0,"(14, 2)","(10, 9)","(5, 4)"
2,luyang-f-25,"[834, 985, 1146, 1305, 1466, 1617, 1777, 1946, 2129, 2298, 2449, 2618, 2769, 2930, 3066, 3250]","[(0, 14), [1, 14], [1, 13], [1, 12], [1, 11], [1, 10], [1, 9], [1, 8], [0, 8], [0, 7], [1, 8], [1, 7], [1, 6], [1, 5], [1, 4], [1, 3], [0, 3]]","[(1, 14), (1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (1, 8), (0, 8), (0, 7), (0, 6), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (0, 3)]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[10],"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",expCondition1,4,controlAvoid,"(0, 14)","(0, 14)","[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (6, 8), (5, 3), (2, 3), (8, 1), (4, 1), (6, 9), (13, 13), (13, 14), (8, 5), (10, 8), (2, 2), (11, 13), (13, 2)]",1,"(0, 14)","(0, 3)","(12, 14)"
3,luyang-f-25,"[869, 1054, 1358, 1510, 1669, 1958, 2126, 2277, 2445, 2606, 2758]","[(14, 14), [14, 13], [13, 13], [13, 12], [14, 11], [14, 10], [14, 9], [14, 8], [14, 7], [14, 6], [14, 5], [14, 4]]","[(14, 13), (13, 13), (13, 12), (13, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5), (14, 4)]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[4],"[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition2,4,controlAvoid,"(14, 14)","(14, 14)","[(12, 12), (12, 14), (12, 10), (14, 12), (10, 12), (12, 9), (9, 12), (2, 12), (12, 2), (1, 11), (3, 6), (8, 7), (1, 4), (6, 1), (2, 1), (8, 2), (3, 2), (4, 7)]",1,"(14, 14)","(4, 14)","(14, 4)"
4,luyang-f-25,"[698, 867, 1026, 1187, 1346, 1490, 1643, 1802, 1962, 2299, 2466, 2643, 2787, 2947, 3107, 3266, 3402, 3578, 3706]","[(14, 0), [13, 0], [12, 0], [11, 0], [12, 0], [11, 0], [12, 1], [12, 1], [12, 1], [12, 1], [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [6, 0], [5, 0], [4, 0], [3, 0]]","[(13, 0), (12, 0), (11, 0), (10, 0), (11, 0), (10, 0), (11, 1), (11, 1), (11, 1), (12, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (3, 0)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[4, 6]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition1,2,controlAvoid,"(14, 0)","(14, 0)","[(13, 1), (11, 1), (13, 3), (2, 13), (5, 10), (12, 13), (13, 13), (14, 12), (4, 5), (10, 12), (8, 8), (6, 12), (1, 3), (5, 4), (6, 6), (14, 9), (4, 13), (11, 12)]",2,"(14, 0)","(14, 10)","(3, 0)"
5,luyang-f-25,"[664, 862, 999, 1166, 1335, 1494, 1655, 1806, 1999]","[(0, 2), [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [8, 3]]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (8, 3)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[],"[0, 0, 0, 1, 1, 1, 1, 1, 0]",expCondition1,0,2,"(1, 2)","(3, 3)","[(1, 1), (1, 3), (3, 1), (9, 6), (11, 4), (7, 6), (6, 10), (6, 11), (13, 8), (6, 6), (4, 7), (7, 4), (6, 12), (7, 9), (11, 3), (13, 2), (4, 4), (5, 6)]",0,"(0, 2)","(8, 3)","(3, 10)"
6,luyang-f-25,"[960, 1112, 1281, 1457, 1608, 1785, 1944, 2096, 2256, 2425, 2585, 2736]","[(12, 14), [12, 13], [12, 12], [12, 11], [12, 11], [12, 10], [12, 9], [12, 8], [12, 7], [12, 6], [12, 5], [12, 4], [12, 3]]","[(12, 13), (12, 12), (12, 11), (12, 10), (12, 10), (12, 9), (12, 8), (12, 7), (12, 6), (12, 5), (12, 4), (12, 3)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[4],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition2,0,controlAvoid,"(12, 14)","(12, 14)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (5, 4), (9, 6), (4, 8), (7, 6), (6, 4), (6, 3), (13, 14), (14, 8), (10, 3), (4, 5), (1, 13), (11, 3), (3, 11)]",1,"(12, 14)","(2, 14)","(12, 3)"
7,luyang-f-25,"[729, 896, 1072, 1249, 1400, 1577, 1745, 1896, 2113, 2264, 2425, 2584, 2744, 2897]","[(0, 14), [0, 13], [0, 14], [0, 13], [0, 12], [0, 11], [0, 10], [0, 9], [0, 8], [1, 8], [2, 8], [3, 8], [4, 8], [4, 7], [4, 6]]","[(0, 13), (0, 12), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (4, 7), (4, 6)]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[2],"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",expCondition2,2,2,"(2, 12)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (6, 4), (7, 7), (8, 5), (5, 7), (5, 3), (12, 5), (13, 2), (11, 4), (13, 13), (11, 5), (13, 5), (7, 2), (7, 1)]",1,"(0, 14)","(4, 6)","(10, 10)"
8,luyang-f-25,"[779, 931, 1108, 1275, 1563, 1747, 1899, 2052, 2211, 2364, 2515, 2651]","[(0, 1), [0, 2], [1, 2], [2, 2], [3, 2], [3, 3], [3, 4], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10]]","[(0, 2), (1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10)]","[(0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",expCondition2,1,0,"(1, 2)","(4, 4)","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (5, 13), (6, 11), (10, 7), (6, 0), (13, 7), (6, 12), (13, 13), (7, 0), (11, 3), (8, 8), (11, 10), (10, 6), (12, 1)]",1,"(0, 1)","(10, 4)","(4, 10)"
9,luyang-f-25,"[810, 971, 1155, 1299, 1442, 1603, 1763, 1915, 2035, 2178, 2322, 2474]","[(0, 13), [0, 12], [1, 12], [2, 12], [3, 11], [3, 10], [3, 9], [3, 8], [3, 7], [4, 7], [4, 6], [4, 5], [4, 4]]","[(0, 12), (1, 12), (2, 12), (3, 12), (3, 10), (3, 9), (3, 8), (3, 7), (4, 7), (4, 6), (4, 5), (4, 4)]","[(0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]",[4],"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",expCondition2,1,1,"(1, 12)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (8, 3), (10, 8), (11, 5), (5, 4), (10, 9), (9, 9), (6, 9), (10, 6), (4, 3), (8, 9), (9, 3), (13, 8), (12, 7)]",1,"(0, 13)","(4, 4)","(11, 10)"
