,name,reactionTime,trajectory,aimPlayerGridList,aimAction,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,pengyue-f-21,"[950, 1332, 1514, 1676, 1833, 2013, 2185, 2350, 2505, 2674, 3072, 3288, 3548, 3832]","[(14, 1), [14, 2], [13, 2], [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [6, 2], [7, 3], [6, 3], [5, 3], [4, 3], [4, 4]]","[(14, 2), (13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (6, 3), (5, 3), (4, 3), (4, 4)]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[10],"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]",expCondition2,1,0,"(13, 2)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (5, 6), (4, 9), (2, 4), (1, 10), (1, 12), (3, 12), (13, 11), (1, 13), (14, 0), (7, 11), (9, 9), (3, 2), (12, 13)]",1,"(14, 1)","(10, 10)","(4, 4)"
1,pengyue-f-21,"[927, 1121, 1602, 1836, 2029, 2197, 2359, 2526, 2694, 2948, 4362, 4647]","[(14, 12), [14, 12], [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [6, 12], [5, 12], [5, 11], [5, 10]]","[(13, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (5, 12), (5, 11), (5, 10)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[1],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",expCondition2,0,1,"(13, 12)","(10, 10)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (1, 7), (12, 3), (12, 1), (6, 6), (3, 10), (4, 8), (6, 9), (14, 13), (6, 7), (1, 10), (2, 13), (8, 4), (4, 11)]",1,"(14, 12)","(5, 10)","(10, 4)"
2,pengyue-f-21,"[842, 1311, 1714, 1957, 2178, 2369, 2580, 2894, 3331, 3580, 3785, 4088, 4443, 4676]","[(0, 0), [0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [3, 9], [4, 9]]","[(0, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9)]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[8],"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0]",expCondition1,4,1,"(3, 3)","(4, 4)","[(2, 2), (2, 0), (2, 4), (0, 2), (4, 2), (9, 7), (9, 4), (11, 5), (9, 11), (8, 11), (2, 10), (10, 0), (11, 10), (7, 5), (9, 9), (4, 12), (12, 7), (10, 11)]",1,"(0, 0)","(8, 4)","(4, 9)"
3,pengyue-f-21,"[1352, 1811, 2137, 2583, 2822, 3552, 3776, 3957, 4128, 4295, 4460, 4644, 4900, 5300, 5489]","[(0, 0), [0, 1], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [1, 11], [0, 11]]","[(1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (1, 11), (0, 11)]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[1],"[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",expCondition1,6,controlAvoid,"(0, 0)","(0, 0)","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (12, 2), (9, 9), (12, 0), (9, 7), (9, 11), (5, 13), (3, 13), (8, 9), (13, 10), (6, 6), (12, 12)]",1,"(0, 0)","(10, 0)","(0, 11)"
4,pengyue-f-21,"[1447, 1734, 2042, 2633, 3041, 3353, 3616, 3912, 4409, 4716, 4911, 5108, 5278, 5486, 5982, 6198, 6470, 6715, 7095]","[(14, 14), [13, 14], [12, 14], [12, 14], [12, 13], [11, 13], [11, 12], [11, 11], [11, 10], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [11, 5], [12, 5], [13, 5], [14, 5], [14, 4]]","[(13, 14), (12, 14), (12, 13), (12, 13), (11, 13), (11, 12), (11, 11), (11, 10), (10, 10), (10, 9), (10, 8), (10, 7), (10, 6), (10, 5), (11, 5), (12, 5), (13, 5), (14, 5), (14, 4)]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[3],"[1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",controlCondition,0,controlAvoid,"(14, 14)","(14, 14)","[(11, 14), (14, 11), (13, 10), (9, 11), (10, 13), (11, 9), (12, 12), (8, 13), (8, 12), (13, 8), (12, 8), (9, 11), (2, 6), (4, 5), (4, 4), (4, 6), (8, 6), (5, 1)]",1,"(14, 14)","(2, 14)","(14, 4)"
5,pengyue-f-21,"[942, 1220, 1548, 1750, 1947, 2228, 2564, 2851, 3033, 3259, 3471, 3722, 4299, 4607, 4991, 5257]","[(0, 14), [1, 14], [2, 14], [2, 13], [2, 12], [2, 11], [2, 10], [2, 9], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [3, 6], [4, 6], [4, 5], [5, 5]]","[(1, 14), (2, 14), (2, 13), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 9), (2, 8), (2, 7), (2, 6), (3, 6), (4, 6), (4, 5), (5, 5)]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]",expCondition1,6,0,"(4, 10)","(5, 9)","[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (1, 3), (12, 13), (12, 4), (3, 3), (13, 2), (11, 1), (11, 2), (10, 11), (9, 4), (13, 1), (13, 4)]",1,"(0, 14)","(5, 5)","(9, 9)"
6,pengyue-f-21,"[1108, 1386, 1706, 1971, 2176, 2428, 2733, 2948, 3189, 3408, 3702, 3916, 4134, 4493, 4799, 5002]","[(14, 0), [14, 1], [14, 2], [13, 2], [12, 2], [11, 2], [10, 2], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [9, 10], [8, 10]]","[(14, 1), (14, 2), (13, 2), (12, 2), (11, 2), (10, 2), (10, 3), (10, 4), (10, 5), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (9, 10), (8, 10)]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",expCondition2,6,0,"(10, 4)","(8, 6)","[(11, 3), (14, 4), (13, 3), (9, 3), (11, 5), (11, 1), (10, 0), (8, 3), (11, 6), (7, 9), (3, 12), (3, 6), (1, 12), (6, 10), (2, 11), (8, 13), (1, 6), (2, 0)]",0,"(14, 0)","(8, 10)","(4, 6)"
7,pengyue-f-21,"[1009, 1245, 1653, 2426, 2650, 2840, 3004, 3327, 3572, 3803, 4029, 4219, 4582, 4871, 5088]","[(13, 0), [12, 0], [11, 0], [12, 1], [12, 2], [12, 3], [12, 2], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [11, 9], [10, 9]]","[(12, 0), (11, 0), (10, 0), (12, 2), (12, 3), (12, 4), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (11, 9), (10, 9)]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]","[3, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",expCondition2,1,1,"(12, 1)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (11, 13), (4, 5), (1, 10), (2, 7), (6, 6), (13, 12), (14, 13), (8, 9), (14, 5), (2, 10), (14, 12), (8, 5), (14, 9)]",2,"(13, 0)","(10, 9)","(4, 4)"
8,pengyue-f-21,"[843, 1186, 1490, 1834, 2125, 2486, 2812, 3121, 3611, 4119, 4445, 4712]","[(0, 14), [1, 14], [1, 13], [1, 12], [1, 11], [1, 10], [1, 9], [2, 9], [3, 9], [3, 8], [4, 8], [4, 7], [4, 6]]","[(1, 14), (1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (4, 9), (4, 8), (4, 7), (4, 6)]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[9],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",expCondition1,4,0,"(3, 11)","(4, 10)","[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (11, 12), (11, 1), (6, 2), (10, 9), (8, 5), (3, 4), (1, 3), (13, 11), (13, 1), (11, 7), (10, 5), (6, 6), (10, 6)]",1,"(0, 14)","(4, 6)","(8, 10)"
9,pengyue-f-21,"[836, 1172, 1998, 2291, 2539, 2953, 3223, 3601, 3873, 4207, 4500]","[(0, 0), [1, 0], [0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [3, 7]]","[(1, 0), (2, 0), (0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7)]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",expCondition1,2,2,"(2, 2)","(3, 3)","[(1, 1), (1, 3), (3, 1), (11, 6), (6, 13), (7, 8), (8, 12), (1, 9), (8, 7), (6, 6), (1, 8), (5, 8), (4, 11), (10, 8), (5, 5), (9, 4), (6, 8), (11, 4)]",1,"(0, 0)","(9, 3)","(3, 7)"
