,name,reactionTime,trajectory,aimPlayerGridList,aimAction,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,qirui-f-22,"[1035, 1227, 1531, 1747, 1907, 2171, 2387, 2579, 2939, 3251, 3523, 3683, 3851, 4083]","[(8, 9), [9, 9], [10, 9], [10, 10], [11, 10], [11, 11], [11, 12], [10, 11], [10, 12], [10, 13], [10, 14], [11, 14], [12, 14], [13, 14], [14, 14]]","[(9, 9), (10, 9), (10, 10), (10, 11), (11, 11), (11, 12), (11, 13), (10, 12), (10, 13), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14)]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[4, 7]","[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",randomCondition,0,2,"(0, 14)","(0, 14)","[(2, 5), (11, 3), (4, 12), (11, 5), (9, 0), (7, 0), (9, 7), (6, 12), (10, 7), (3, 6), (1, 1), (4, 10), (2, 9), (1, 13), (10, 4), (4, 5), (5, 6), (9, 3)]",2,"(8, 9)","(10, 1)","(14, 14)"
1,qirui-f-22,"[955, 1123, 1291, 1451, 1611, 1763, 1923, 2043, 2283, 2611, 2787, 2947, 3099]","[(14, 0), [13, 0], [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [6, 0], [5, 0], [5, 1], [5, 2], [5, 3], [5, 4]]","[(13, 0), (12, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4)]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0]",expCondition2,2,1,"(12, 2)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (10, 13), (1, 9), (14, 12), (2, 1), (13, 13), (2, 0), (1, 7), (14, 9), (6, 12), (8, 13), (8, 6), (4, 6), (8, 12)]",0,"(14, 0)","(10, 8)","(5, 4)"
2,qirui-f-22,"[903, 1127, 1479, 1679, 1887, 2175, 2615, 2783, 2951, 3119, 3327]","[(0, 14), [1, 14], [2, 14], [2, 13], [2, 12], [2, 12], [3, 12], [3, 11], [3, 10], [3, 9], [3, 8], [3, 7]]","[(1, 14), (2, 14), (2, 13), (2, 12), (2, 11), (3, 12), (3, 11), (3, 10), (3, 9), (3, 8), (3, 7)]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[5],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",expCondition1,2,2,"(2, 12)","(3, 11)","[(1, 13), (3, 13), (1, 11), (10, 3), (6, 4), (13, 5), (3, 4), (10, 5), (12, 6), (8, 5), (10, 14), (6, 7), (9, 9), (11, 13), (11, 5), (12, 13), (12, 9), (2, 6)]",1,"(0, 14)","(3, 7)","(9, 11)"
3,qirui-f-22,"[862, 1086, 1238, 1398, 1550, 1718, 1894, 2070, 2246, 2422, 2582, 2758, 2950, 3342]","[(14, 13), [14, 12], [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [6, 12], [5, 12], [4, 12], [3, 12], [2, 12], [2, 13]]","[(14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (5, 12), (4, 12), (3, 12), (2, 12), (2, 13)]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",expCondition1,1,controlAvoid,"(14, 13)","(14, 13)","[(13, 13), (13, 11), (11, 13), (14, 14), (6, 3), (4, 3), (12, 1), (12, 2), (8, 7), (7, 8), (1, 13), (3, 2), (10, 7), (4, 11), (1, 3), (9, 1), (13, 14), (1, 2)]",0,"(14, 13)","(2, 13)","(14, 1)"
4,qirui-f-22,"[846, 1246, 1430, 1598, 1766, 1982, 2182, 2462, 2862, 3078, 3302, 4022, 4230, 4438, 4662, 5030, 5182]","[(0, 13), [0, 13], [0, 12], [0, 12], [1, 12], [2, 12], [3, 12], [4, 12], [5, 12], [6, 12], [7, 12], [6, 13], [6, 12], [7, 12], [8, 12], [9, 12], [9, 11], [9, 10]]","[(1, 13), (0, 12), (1, 12), (1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (6, 12), (7, 12), (8, 12), (9, 12), (9, 11), (9, 10)]","[(1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[3, 11]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0]",expCondition2,1,2,"(1, 12)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (11, 4), (10, 3), (6, 4), (5, 5), (12, 2), (7, 1), (10, 6), (10, 12), (8, 14), (13, 2), (5, 9), (4, 2), (10, 5)]",2,"(0, 13)","(4, 3)","(9, 10)"
5,qirui-f-22,"[647, 871, 1183, 1335, 1511, 1727, 2159, 2407, 2599, 3007, 3215, 3439, 3671]","[(0, 14), [1, 14], [2, 14], [2, 14], [2, 13], [2, 12], [2, 11], [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10]]","[(1, 14), (2, 14), (2, 13), (2, 13), (2, 12), (2, 11), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10)]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",expCondition2,2,2,"(2, 12)","(4, 10)","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (6, 2), (9, 7), (10, 2), (13, 6), (13, 10), (9, 13), (2, 3), (4, 3), (11, 2), (11, 6), (12, 12), (13, 9), (9, 4)]",1,"(0, 14)","(4, 4)","(8, 10)"
6,qirui-f-22,"[792, 1064, 1352, 1528, 1696, 2152, 2504]","[(1, 9), [1, 10], [1, 11], [2, 11], [3, 12], [4, 12], [5, 12], [5, 13]]","[(1, 10), (1, 11), (2, 11), (3, 11), (4, 12), (5, 12), (5, 13)]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[4],"[1, 1, 0, 0, 0, 0, 1]",randomCondition,0,controlAvoid,"(0, 0)","(0, 0)","[(1, 6), (0, 12), (0, 10), (7, 13), (4, 9), (0, 13), (12, 1), (8, 6), (14, 12), (10, 4), (3, 13), (10, 6), (7, 1), (4, 7), (5, 2), (0, 5), (7, 8), (8, 11)]",1,"(1, 9)","(5, 13)","(5, 4)"
7,qirui-f-22,"[974, 1614, 1798, 2038, 2270, 2438, 2598, 2758, 3110, 3294, 3526, 3694, 3854, 4038, 4398]","[(14, 0), [14, 1], [14, 2], [13, 2], [12, 2], [12, 3], [12, 4], [12, 5], [12, 6], [13, 6], [14, 6], [14, 7], [14, 8], [14, 9], [14, 10], [14, 11]]","[(14, 1), (14, 2), (13, 2), (12, 2), (12, 3), (12, 4), (12, 5), (12, 6), (13, 6), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11)]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",expCondition1,6,controlAvoid,"(14, 0)","(14, 0)","[(11, 3), (14, 4), (13, 3), (9, 3), (11, 5), (11, 1), (10, 0), (11, 10), (9, 10), (1, 1), (1, 12), (10, 12), (3, 10), (3, 12), (8, 8), (3, 9), (8, 6), (8, 7)]",0,"(14, 0)","(14, 11)","(2, 0)"
8,qirui-f-22,"[1010, 1194, 1378, 1546, 1722, 1915, 2091, 2291, 2675, 3411, 3627, 3859, 4219]","[(2, 9), [2, 8], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [7, 8], [8, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13]]","[(2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (8, 8), (9, 8), (9, 10), (9, 11), (9, 12), (9, 13)]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[7, 9]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",randomCondition,0,0,"(14, 14)","(14, 14)","[(5, 11), (11, 6), (0, 4), (4, 12), (13, 3), (1, 8), (3, 3), (0, 3), (5, 4), (2, 12), (3, 1), (6, 14), (1, 13), (7, 6), (6, 9), (12, 0), (1, 0), (14, 13)]",2,"(2, 9)","(9, 13)","(14, 8)"
9,qirui-f-22,"[901, 1077, 1261, 1709, 1909, 2253, 2421, 2749, 3413, 3781, 3957, 4141, 4325, 4509, 4685, 4869, 5061, 5165, 5669, 6029, 6245]","[(0, 12), [1, 12], [0, 12], [1, 12], [2, 12], [3, 12], [3, 11], [4, 11], [4, 10], [4, 9], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [4, 3], [4, 4], [3, 4]]","[(1, 12), (2, 12), (1, 12), (2, 12), (3, 12), (3, 11), (4, 11), (4, 10), (4, 9), (4, 8), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (4, 3), (4, 4), (3, 4)]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, 1), (-1, 0)]","[2, 10]","[0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]",expCondition1,0,0,"(1, 12)","(3, 11)","[(1, 13), (3, 13), (1, 11), (11, 1), (11, 13), (10, 9), (6, 9), (4, 1), (9, 3), (7, 2), (5, 8), (7, 3), (13, 6), (13, 11), (9, 5), (13, 10), (13, 13), (9, 7)]",2,"(0, 12)","(3, 4)","(10, 11)"
